protocolType,SETS_setName,trait,year_loc,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,2,MX8639,MX8639
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,143.242604,VX8614,VX8614
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,4,VX8614,VX8614
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,2,VX8614,VX8614
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,VX8614,VX8614
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,2,VY8502,VY8502
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,5,VY8502,VY8502
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,137.530901,VY8502,VY8502
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,VY8502,VY8502
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,150.539694,VY8503,VY8503
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,3,VY8503,VY8503
