protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,15.0,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,115.631164,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,CALAMAR,CALAMAR
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,4.0,CALAMAR,CALAMAR
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,2.0,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,134.733728,CALAMAR,CALAMAR
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,130.19954,MX8639,MX8639
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,14.0,MX8639,MX8639
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,MX8639,MX8639
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,MX8639,MX8639
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,2.0,MX8639,MX8639
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,143.242604,VX8614,VX8614
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,4.0,VX8614,VX8614
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,2.0,VX8614,VX8614
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,VX8614,VX8614
